PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
873	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-12-03
873	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-12-03
873	SHWR	EXT SHOWER	1.00	UNITS	300	1	2024-12-03
875	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
875	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-12-03
875	JAC	JETTUB	1.00	UNITS	1400	1	2024-12-03
876	HRTH	HEARTH-INC FLU	2.00	UNITS	2700	1	2024-12-03
876	GNRA	SV GENERATOR	1.00	UNITS	4100	1	2024-12-03
876	SHWR	EXT SHOWER	1.00	UNITS	300	1	2024-12-03
877	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-12-03
877	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-12-03
878	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-12-03
878	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
879	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-12-03
880	HRTH	HEARTH-INC FLU	1.00	UNITS	1700	1	2024-12-03
880	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-12-03
881	FPL2	1.5 STORY CHIM	1.00	UNITS	3900	1	2024-12-03
881	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-12-03
881	SNA	SAUNA	54.00	S.F.	6100	1	2024-12-03
881	POOL	POOL	1.00	UNITS	11500	1	2024-12-03
881	GNRA	SV GENERATOR	1.00	UNITS	4800	1	2024-12-03
883	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-12-03
884	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-12-03
887	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-12-03
887	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-12-03
891	FPL3	2 STORY CHIM	1.00	UNITS	3900	1	2024-12-03
891	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
891	GNRA	SV GENERATOR	1.00	UNITS	4200	1	2024-12-03
895	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-12-03
895	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
896	FPL3	2 STORY CHIM	2.00	UNITS	9000	1	2024-12-03
896	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-12-03
896	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
899	FPL2	1.5 STORY CHIM	1.00	UNITS	2800	1	2024-12-03
899	FPO	EXTRA FPL OPEN	2.00	UNITS	1500	1	2024-12-03
899	FPLD	DELUX FIREPLAC	1.00	UNITS	6800	1	2024-12-03
899	GNRA	SV GENERATOR	2.00	UNITS	6800	1	2024-12-03
900	FPLD	DELUX FIREPLAC	1.00	UNITS	8000	1	2024-12-03
900	FPO	EXTRA FPL OPEN	2.00	UNITS	1800	1	2024-12-03
900	GNRA	SV GENERATOR	1.00	UNITS	4200	2	2024-12-03
900	HOTT	HOT TUB	1.00	UNITS	2800	1	2024-12-03
901	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
909	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-12-03
909	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
910	GNRA	SV GENERATOR	1.00	UNITS	4200	1	2024-12-03
911	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
911	FPO	EXTRA FPL OPEN	2.00	UNITS	2000	1	2024-12-03
913	FLU2	FLUE BRICK	2.00	UNITS	1700	1	2024-12-03
916	HRTH	HEARTH-INC FLU	2.00	UNITS	2600	1	2024-12-03
916	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-12-03
920	NFP1	NONFCTG FPL1	1.00	UNITS	1600	1	2024-12-03
923	FLU1	FLUE CONCRETE	1.00	UNITS	200	2	2024-12-03
935	FPLD	DELUX FIREPLAC	1.00	UNITS	8700	1	2024-12-03
935	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-12-03
939	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
939	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	3	2024-12-03
940	HRTA	HEARTH-FLDPR	1.00	UNITS	900	1	2024-12-03
940	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-12-03
940	SHWR	EXT SHOWER	1.00	UNITS	400	1	2024-12-03
942	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-12-03
942	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-12-03
943	GNRA	SV GENERATOR	1.00	UNITS	4900	1	2024-12-03
944	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
944	GNRA	SV GENERATOR	1.00	UNITS	3900	1	2024-12-03
947	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
947	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-12-03
949	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-12-03
949	FPO	EXTRA FPL OPEN	2.00	UNITS	1800	1	2024-12-03
949	FPL2	1.5 STORY CHIM	1.00	UNITS	3400	1	2024-12-03
951	FLU2	FLUE BRICK	1.00	UNITS	800	1	2024-12-03
952	FLU1	FLUE CONCRETE	1.00	UNITS	300	1	2024-12-03
952	HRTH	HEARTH-INC FLU	1.00	UNITS	1000	1	2024-12-03
953	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-12-03
