PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
1054	BRN8	POLE BRN/RUN N	 	 	640.00	S.F.	10200	1	2024-12-03
1054	SHD1	SHED AVERAGE	 	 	77.00	S.F.	1200	1	2024-12-03
1058	IMP	IMPLEMENT SHED	 	 	576.00	S.F.	1900	1	2024-12-03
1058	BRN3	1 STORY W/LOFT	 	 	684.00	S.F.	6900	1	2024-12-03
1058	LNT	LEAN-TO	 	 	540.00	S.F.	600	1	2024-12-03
1060	FGR7	W/LOFT EXCELL	 	 	1248.00	S.F.	69600	1	2024-12-03
1060	BN11	P&BBRN/SHP2S-L	 	 	1200.00	SF	47500	1	2024-12-03
1060	STB6	CSTM STABLE	 	 	2816.00	S.F.	210600	1	2024-12-03
1060	BRN8	POLE BRN/RUN N	 	 	448.00	S.F.	7200	1	2024-12-03
1060	SHD1	SHED AVERAGE	 	 	48.00	S.F.	700	1	2024-12-03
1060	IMP	IMPLEMENT SHED	 	 	416.00	S.F.	4100	1	2024-12-03
1061	STB5	W/LOFT+IMP+	 	 	720.00	S.F.	35600	1	2024-12-03
1061	BRN8	POLE BRN/RUN N	 	 	480.00	S.F.	5800	1	2024-12-03
1061	SHD2	SHED GOOD	 	 	208.00	S.F.	3400	1	2024-12-03
1064	SHD2	SHED GOOD	 	 	256.00	S.F.	3400	1	2024-12-03
1064	STB4	W/LOFT+ IMPR	 	 	1500.00	S.F.	33000	3	2024-12-03
1064	IMP	IMPLEMENT SHED	 	 	180.00	S.F.	2000	3	2024-12-03
1064	BRN1	BARN - 1 STORY	 	 	1200.00	S.F.	13800	1	2024-12-03
1068	GAZC	GAZEBO FP	 	 	1.00	UNITS	1900	1	2024-12-03
1068	BRN4	1 STY LFT&BSMT	 	 	2218.00	S.F.	77600	1	2024-12-03
1068	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-12-03
1068	SHP2	WORK SHOP GOOD	 	 	545.00	S.F	10900	1	2024-12-03
1068	SHD1	SHED AVERAGE	 	 	224.00	S.F.	800	1	2024-12-03
1068	APT1	APT DET	 	 	611.00	UNITS	26900	1	2024-12-03
1068	UBM1	UNFINISHD BSMT	 	 	140.00	UNITS	800	1	2024-12-03
1070	SHD1	SHED AVERAGE	 	 	209.00	S.F.	1600	1	2024-12-03
1070	SHD1	SHED AVERAGE	 	 	128.00	S.F.	800	1	2024-12-03
1071	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1300	1	2024-12-03
1071	PAT1	PATIO-AVG	 	 	200.00	S.F.	1200	1	2024-12-03
1071	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
1078	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
1078	PLT	POULTRYHS FP	 	 	1.00	UNITS	200	1	2024-12-03
1078	LNT	LEAN-TO	 	 	340.00	S.F.	500	1	2024-12-03
1078	DECK	DECK	 	 	42.00	S.F.	500	1	2024-12-03
1078	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
1091	FCP	CARPORT	 	 	240.00	S.F.	2000	1	2024-12-03
1092	FGR1	GARAGE-AVE	 	 	480.00	S.F.	11500	1	2024-12-03
1092	SHD2	SHED GOOD	 	 	240.00	S.F.	3700	1	2024-12-03
1092	SHDE	SHED FLDPR	 	 	1.00	UNITS	500	1	2024-12-03
1092	LNT	LEAN-TO	 	 	60.00	S.F.	300	1	2024-12-03
1096	BRN2	1 STORY W/BSMT	 	 	1536.00	S.F.	44500	1	2024-12-03
1096	PAT1	PATIO-AVG	 	 	207.00	S.F.	1200	1	2024-12-03
1096	PAT1	PATIO-AVG	 	 	207.00	S.F.	1200	1	2024-12-03
1099	FGR5	W/LOFT GOOD	 	 	576.00	S.F.	22500	1	2024-12-03
1099	LNT	LEAN-TO	 	 	72.00	S.F.	200	1	2024-12-03
1099	PAT1	PATIO-AVG	 	 	204.00	S.F.	1200	1	2024-12-03
1099	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-12-03
1099	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-12-03
1101	SHD1	SHED AVERAGE	 	 	80.00	S.F.	1100	1	2024-12-03
1102	SHD2	SHED GOOD	 	 	384.00	S.F.	5100	1	2024-12-03
1102	PAT1	PATIO-AVG	 	 	72.00	S.F.	300	1	2024-12-03
1104	BRN4	1 STY LFT&BSMT	 	 	2201.00	S.F.	46200	1	2024-12-03
1105	PAD	CONC PAD	 	 	1512.00	S.F.	8200	3	2024-12-03
1105	LNT	LEAN-TO	 	 	201.00	S.F.	700	3	2024-12-03
1105	BRN3	1 STORY W/LOFT	 	 	900.00	S.F.	15700	1	2024-12-03
1105	SLO3	CONCRETE TRNCH	 	 	442.00	SF	2800	3	2024-12-03
