PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
563	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-11-26
563	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-26
564	FPL	FIREPLCE/MET F	1.00	UNITS	1600	1	2024-11-26
565	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-11-26
565	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
565	SHR1	SHOWER STALL	1.00	UNITS	700	1	2024-11-26
569	SPR1	SPRINKLERS-WET	13860.00	S.F.	26600	1	2024-11-26
569	JAC	JETTUB	6.00	UNITS	6300	1	2024-11-26
569	GNRB	SV GENERATOR	1.00	UNITS	7000	1	2024-11-26
570	FPL3	2 STORY CHIM	1.00	UNITS	1500	1	2024-11-26
571	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
572	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-26
575	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
575	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-26
575	FPL	FIREPLCE/MET F	1.00	UNITS	1400	1	2024-11-26
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	3	2024-11-26
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	2	2024-11-26
576	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	2	2024-11-26
576	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
576	FPLD	DELUX FIREPLAC	1.00	UNITS	9900	1	2024-11-26
576	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-26
578	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
578	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-26
579	FPL3	2 STORY CHIM	2.00	UNITS	8500	1	2024-11-26
579	FPO	EXTRA FPL OPEN	5.00	UNITS	5100	1	2024-11-26
579	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-26
584	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
584	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
584	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
593	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
593	GNRA	SV GENERATOR	1.00	UNITS	3700	1	2024-11-26
594	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-26
594	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
594	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-26
597	FPL	FIREPLCE/MET F	1.00	UNITS	1600	1	2024-11-26
605	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
607	FPL1	FIREPLACE 1 ST	1.00	UNITS	2600	1	2024-11-26
611	FPL	FIREPLCE/MET F	1.00	UNITS	1700	1	2024-11-26
611	FPL3	2 STORY CHIM	1.00	UNITS	4800	1	2024-11-26
611	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-11-26
616	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-26
616	GNRA	SV GENERATOR	1.00	UNITS	0	1	2024-11-26
621	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-26
625	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
626	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-26
638	FPL1	FIREPLACE 1 ST	1.00	UNITS	2800	2	2024-11-26
638	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	2	2024-11-26
638	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-26
639	FPL3	2 STORY CHIM	1.00	UNITS	4600	1	2024-11-26
639	FPL	FIREPLCE/MET F	2.00	UNITS	3200	1	2024-11-26
639	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-26
639	SHWR	EXT SHOWER	1.00	UNITS	400	1	2024-11-26
639	HOTT	HOT TUB	1.00	UNITS	3500	1	2024-11-26
645	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
645	HRTH	HEARTH-INC FLU	2.00	UNITS	2900	1	2024-11-26
647	FPLC	1 ST CAMP FPL	1.00	UNITS	1400	1	2024-11-26
648	FPL	FIREPLCE/MET F	2.00	UNITS	3200	1	2024-11-26
649	FPL	FIREPLCE/MET F	2.00	UNITS	2700	1	2024-11-26
649	JAC	JETTUB	1.00	UNITS	1300	1	2024-11-26
651	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
651	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	2	2024-11-26
652	FPLC	1 ST CAMP FPL	1.00	UNITS	1800	1	2024-11-26
655	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
655	SNA	SAUNA	24.00	S.F.	2700	1	2024-11-26
664	FPLC	1 ST CAMP FPL	1.00	UNITS	2300	1	2024-11-26
667	FPLC	1 ST CAMP FPL	1.00	UNITS	1800	1	2024-11-26
673	FPLC	1 ST CAMP FPL	1.00	UNITS	2000	1	2024-11-26
689	HRTH	HEARTH-INC FLU	3.00	UNITS	3500	1	2024-11-26
689	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-11-26
690	FPL3	2 STORY CHIM	1.00	UNITS	4600	1	2024-11-26
690	HOTT	HOT TUB	1.00	UNITS	3500	1	2024-11-26
691	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
692	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
692	HRTA	HEARTH-FLDPR	1.00	UNITS	900	1	2024-11-26
694	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-26
694	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
696	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-11-26
697	FLU2	FLUE BRICK	1.00	UNITS	600	1	2024-11-26
697	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-11-26
698	HRTH	HEARTH-INC FLU	2.00	UNITS	3200	1	2024-11-26
701	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
702	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
703	FLU1	FLUE CONCRETE	1.00	UNITS	300	1	2024-11-26
706	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
707	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
708	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
719	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
719	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-11-26
719	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-26
723	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-26
725	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
725	FPO	EXTRA FPL OPEN	2.00	UNITS	2000	1	2024-11-26
734	FPL2	1.5 STORY CHIM	1.00	UNITS	3700	1	2024-11-26
736	FPL3	2 STORY CHIM	2.00	UNITS	8700	1	2024-11-26
737	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
737	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-11-26
737	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-26
737	GENR	SV GENERATOR >20KW	1.00	UNITS	14000	1	2024-11-26
738	FPL	FIREPLCE/MET F	1.00	UNITS	1400	1	2024-11-26
739	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
740	FLU1	FLUE CONCRETE	1.00	UNITS	500	2	2024-11-26
740	FPLD	DELUX FIREPLAC	1.00	UNITS	8900	1	2024-11-26
740	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
741	FPL2	1.5 STORY CHIM	1.00	UNITS	3000	1	2024-11-26
742	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
743	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-11-26
743	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
744	FPL2	1.5 STORY CHIM	1.00	UNITS	2700	1	2024-11-26
744	FPO	EXTRA FPL OPEN	1.00	UNITS	700	1	2024-11-26
744	GNRA	SV GENERATOR	1.00	UNITS	3300	1	2024-11-26
746	FPLD	DELUX FIREPLAC	1.00	UNITS	8500	1	2024-11-26
746	FPL1	FIREPLACE 1 ST	1.00	UNITS	3100	1	2024-11-26
748	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
748	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-26
748	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-11-26
749	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
749	GNRA	SV GENERATOR	1.00	UNITS	4500	1	2024-11-26
750	FPL3	2 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
750	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
750	SAU	SAUNA	64.00	S.F.	6400	1	2024-11-26
751	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-11-26
751	SHR1	SHOWER STALL	1.00	UNITS	800	1	2024-11-26
752	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
753	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
753	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
753	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-11-26
754	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-26
754	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-26
754	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
754	SNA	SAUNA	36.00	S.F.	3900	1	2024-11-26
754	GNRA	SV GENERATOR	1.00	UNITS	4600	1	2024-11-26
755	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
756	FPL2	1.5 STORY CHIM	1.00	UNITS	3900	1	2024-11-26
756	GNRA	SV GENERATOR	1.00	UNITS	4800	1	2024-11-26
759	FPL1	FIREPLACE 1 ST	1.00	UNITS	2700	1	2024-11-26
759	GNR	SM SV GENERATOR	1.00	UNITS	1800	1	2024-11-26
765	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
765	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
768	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
768	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-11-26
768	VLT1	VAULT	143.00	S.F.	11300	1	2024-11-26
771	GNRA	SV GENERATOR	1.00	UNITS	4800	1	2024-11-26
772	FPL2	1.5 STORY CHIM	2.00	UNITS	7200	1	2024-11-26
775	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
782	FPL3	2 STORY CHIM	1.00	UNITS	4200	2	2024-11-26
782	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	2	2024-11-26
782	POOL	POOL	1.00	UNITS	19100	2	2024-11-26
783	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
785	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	2	2024-11-26
785	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-26
785	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-26
785	JAC	JETTUB	1.00	UNITS	1300	1	2024-11-26
