Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Concord,2022,1775731,0,0,28731,0,1003466869,500621800,2167715200,68909200,1246288674,59200,0,0,84359100,191711900,0,0,5264936405,4022715,5260913690,3901520,24756432,723600,5231532138,134832478,273750,134558728,25.89,0,2024-03-19
Conway,2022,1871360,3350,0,0,0,357311300,195646700,904981800,19363100,282787595,0,0,1110100,0,61043700,0,0,1824119005,0,1824119005,75000,3956500,1176000,1818911505,30978129,316667,30661462,17.08,0,2024-03-19
Cornish,2022,2622963,0,0,1700,0,61641250,643800,123165201,2605500,2151200,46799,0,0,0,6012300,0,0,198890713,0,198890713,15000,375000,446420,198054293,4680249,39600,4640649,23.67,0,2024-03-19
Crawford's Purchase,2022,0,0,0,0,0,45800,178270,0,0,5660,0,0,0,0,400,0,0,230130,0,230130,0,0,0,230130,0,,0,0.00,0,2024-03-19
Croydon,2022,1517398,0,0,0,0,38883600,1992000,63970400,2818900,5419800,0,0,0,0,8387300,0,0,122989398,0,122989398,0,130000,0,122859398,1737415,9625,1727790,14.22,0,2024-03-19
Cutt's Grant,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0,2024-03-19
Dalton,2022,627278,0,0,0,0,20547000,1416100,50244928,5026600,1824900,0,0,0,0,4679700,0,0,84366506,0,84366506,0,94400,0,84272106,2145945,40000,2105945,25.55,0,2024-03-19
Danbury,2022,1301606,7354,0,0,0,62687500,1687800,92535550,4836740,4683840,0,0,0,0,3703600,0,0,171443990,170690,171273300,15000,195000,90000,170973300,2988144,27200,2960944,17.50,0,2024-03-19
Danville,2022,190948,0,0,50,0,172607000,7112000,346911400,26495400,11379700,9000,0,208600,0,20456200,76400,0,585446698,0,585446698,25000,3244600,49250,582127848,11392796,173500,11219296,19.61,0,2024-03-19
Deerfield,2022,1569428,92,0,18550,0,265324300,7461500,405076011,6100200,17472600,113489,0,0,0,76392900,0,0,779529070,0,779529070,45000,1529100,1740420,776214550,14127815,247000,13880815,18.32,0,2024-03-19
