Municipality,Year,DateComputed,Valuation,Valuation w/ Utils,Municipal,County,State Ed.,Local Ed.,Total Rate,Total Commitment,CollectedOn
Lyman,2020,2020-11-20,72244415,74806815,5.66,1.68,1.73,12.35,21.42,1582129,2023-11-07
Lyme,2020,2020-10-29,347696300,354174300,6.84,1.76,2.04,16.02,26.66,9391071,2023-11-07
Lyndeborough,2020,2020-11-09,209701687,212076187,7.35,1.04,1.57,11.38,21.34,4485678,2023-11-07
Madbury,2020,2020-10-16,276665468,296284068,4.72,2.40,1.84,16.29,25.25,7414324,2023-11-07
Madison,2020,2020-11-19,574355733,587259733,3.54,1.16,1.93,8.67,15.30,9510265,2023-11-07
Manchester,2020,2020-11-19,8914944739,9175091539,11.48,1.29,2.36,9.53,24.66,224271285,2023-11-07
Marlborough,2020,2020-11-19,172875467,176275527,5.30,4.24,2.10,19.83,31.47,5488550,2023-11-07
Marlow,2020,2020-12-14,72107307,73886807,6.51,3.61,1.74,17.85,29.71,2175581,2023-11-07
Martin's Location (U),2020,2020-12-02,1,271400,-3.93,3.93,0.00,0.00,0.00,0,2023-11-07
Mason,2020,2020-11-02,154537392,159128292,9.72,1.17,2.21,13.91,27.01,4248910,2023-11-07
Meredith,2020,2020-11-10,2289105880,2302685480,4.29,1.15,1.88,6.70,14.02,31960770,2023-11-07
Merrimack,2020,2020-11-13,3401306102,3547578102,5.06,1.17,2.14,15.69,24.06,84309995,2023-11-07
Middleton,2020,2020-12-09,181349402,186747102,9.09,2.59,1.89,14.70,28.27,5273694,2023-11-07
Milan,2020,2020-11-10,128990788,150649388,2.74,4.08,1.61,11.65,20.08,2979569,2023-11-07
Milford,2020,2020-11-10,1618305257,1656349157,5.78,1.09,1.93,16.57,25.37,41720254,2023-11-07
Millsfield (U),2020,2020-12-01,8341163,8394563,-43.02,49.47,2.07,-1.84,6.68,55965,2023-11-07
Milton,2020,2020-11-20,474634031,494887213,4.63,2.49,1.89,13.15,22.16,10756022,2023-11-07
Monroe,2020,2020-10-14,83161787,449492087,1.70,1.73,1.90,6.65,11.98,4679487,2023-11-07
Mont Vernon,2020,2020-11-12,314172014,317254014,4.74,1.01,1.93,18.90,26.58,8380664,2023-11-07
Moultonborough,2020,2020-10-27,3539022451,3574129240,2.11,1.15,1.78,2.09,7.13,25245702,2023-11-07
Nashua,2020,2020-11-04,9941795453,10335998453,9.10,1.16,2.08,10.27,22.61,231335273,2023-11-07
Nelson,2020,2020-10-29,122111268,125807368,6.39,3.69,1.98,6.81,18.87,2362641,2023-11-07
New Boston,2020,2020-11-03,669493614,683500314,5.42,1.11,2.02,15.54,24.09,16286229,2023-11-07
New Castle,2020,2020-11-17,733348193,734925493,2.53,0.91,1.93,0.93,6.30,4602986,2023-11-07
New Durham,2020,2020-12-18,589370148,594581948,4.69,2.20,1.58,8.41,16.88,10023319,2023-11-07
New Hampton,2020,2020-11-09,302680962,338396262,6.36,1.21,1.94,8.44,17.95,5941658,2023-11-07
New Ipswich,2020,2020-11-30,467628211,483823011,4.70,1.02,1.78,13.75,21.25,10025523,2023-11-07
New London,2020,2020-11-09,1251721273,1265204773,4.30,2.56,1.92,6.16,14.94,19076889,2023-11-07
Newbury,2020,2020-10-14,757014261,761645361,4.12,2.94,2.13,7.33,16.52,12507470,2023-11-07
Newfields,2020,2020-11-18,298986257,301311757,3.65,0.81,1.90,14.88,21.24,6360544,2023-11-07
Newington,2020,2020-11-04,597229480,1024017380,6.31,0.88,1.87,0.83,9.89,9285438,2023-11-07
