PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
241	BRN1	BARN - 1 STORY	 	 	2160.00	S.F.	24800	1	2024-11-04
247	PAT1	PATIO-AVG	 	 	100.00	S.F.	400	1	2024-11-04
247	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	2	2024-11-04
247	FGR3	GARAGE-LOWCOST	 	 	288.00	S.F.	700	1	2024-11-04
247	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-11-04
247	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
248	FGR4	W/LOFT-AVG	 	 	864.00	S.F	18700	1	2024-11-04
249	FGR3	GARAGE-LOWCOST	 	 	528.00	S.F.	6100	1	2024-11-04
251	SHD1	SHED AVERAGE	 	 	286.00	S.F.	1300	1	2024-11-04
251	SHD1	SHED AVERAGE	 	 	70.00	S.F.	1100	1	2024-11-04
251	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
252	SHD3	LOW COST	 	 	208.00	S.F.	200	1	2024-11-04
252	FGR2	GARAGE-GOOD	 	 	1008.00	S.F.	35500	1	2024-11-04
252	IMP	IMPLEMENT SHED	 	 	264.00	S.F.	2700	1	2024-11-04
253	SHD1	SHED AVERAGE	 	 	78.00	S.F.	700	1	2024-11-04
253	LNT	LEAN-TO	 	 	273.00	S.F.	1200	1	2024-11-04
253	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
253	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
254	LNT	LEAN-TO	 	 	180.00	S.F.	700	1	2024-11-04
254	BRN3	1 STORY W/LOFT	 	 	800.00	S.F.	17400	1	2024-11-04
254	BRN1	BARN - 1 STORY	 	 	800.00	S.F.	13800	1	2024-11-04
254	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1800	1	2024-11-04
254	SLR5	SLR PV >20KW	 	 	1.00	UNITS	60000	1	2024-11-04
255	BRN3	1 STORY W/LOFT	 	 	720.00	S.F.	7300	1	2024-11-04
257	FGR3	GARAGE-LOWCOST	 	 	270.00	S.F.	2500	1	2024-11-04
258	MSC2	AMENITY	 	 	1.00	UNIT	110000	1	2024-11-04
258	FGR2	GARAGE-GOOD	 	 	576.00	S.F.	21500	1	2024-11-04
259	PAVE	SV PAVING XXL	 	 	1.00	UNITS	25000	1	2024-11-04
259	LT1	LIGHTS-IN W/PL	 	 	20.00	UNITS	12400	1	2024-11-04
259	LT5	MERC VAP/FLU	 	 	6.00	UNITS	5900	1	2024-11-04
259	PAVL	PAVILLION	 	 	1.00	UNITS	5000	1	2024-11-04
259	IMPA	GD IMP SHED	 	 	1152.00	S.F.	18700	1	2024-11-04
259	IMP	IMPLEMENT SHED	 	 	270.00	S.F.	3200	1	2024-11-04
260	PLT1	PLTRY HSE 1 ST	 	 	64.00	S.F.	200	1	2024-11-04
260	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
267	FGR1	GARAGE-AVE	 	 	576.00	S.F.	11100	1	2024-11-04
267	SHD1	SHED AVERAGE	 	 	180.00	S.F.	1100	1	2024-11-04
267	FGR1	GARAGE-AVE	 	 	336.00	S.F.	6500	1	2024-11-04
267	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
270	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
270	SHDA	SHED FLDPR	 	 	2.00	UNITS	200	1	2024-11-04
270	SHDE	SHED FLDPR	 	 	1.00	UNITS	500	1	2024-11-04
270	WDK3	DET DECK 500	 	 	1.00	UNITS	500	1	2024-11-04
270	SPL5	AG POOL RECTANGLE	 	 	288.00	S.F.	3000	1	2024-11-04
270	LNT	LEAN-TO	 	 	48.00	S.F.	200	1	2024-11-04
270	SHD1	SHED AVERAGE	 	 	160.00	S.F.	2400	1	2024-11-04
271	SHD1	SHED AVERAGE	 	 	96.00	S.F.	900	1	2024-11-04
273	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
274	BRN8	POLE BRN/RUN N	 	 	288.00	S.F.	2800	1	2024-11-04
274	SHDD	SHED FLDPR	 	 	1.00	UNITS	400	1	2024-11-04
274	STB4	W/LOFT+ IMPR	 	 	1200.00	S.F.	39600	1	2024-11-04
274	BRN3	1 STORY W/LOFT	 	 	1200.00	S.F.	34800	1	2024-11-04
275	FGR1	GARAGE-AVE	 	 	576.00	S.F.	1800	1	2024-11-04
276	SHD1	SHED AVERAGE	 	 	140.00	S.F.	2100	1	2024-11-04
278	BRN3	1 STORY W/LOFT	 	 	864.00	S.F.	2500	1	2024-11-04
278	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-11-04
278	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
278	IMP	IMPLEMENT SHED	 	 	260.00	S.F.	300	1	2024-11-04
278	PAVB	SV PAVING SML	 	 	1.00	UNITS	200	1	2024-11-04
279	BRN8	POLE BRN/RUN N	 	 	864.00	S.F.	5500	1	2024-11-04
279	IMP	IMPLEMENT SHED	 	 	264.00	S.F.	900	1	2024-11-04
279	LNT	LEAN-TO	 	 	294.00	S.F.	500	1	2024-11-04
279	PAVB	SV PAVING SML	 	 	1.00	UNITS	800	1	2024-11-04
283	SHD2	SHED GOOD	 	 	96.00	S.F.	1300	1	2024-11-04
283	WDK2	GD DECK	 	 	384.00	S.F.	6200	2	2024-11-04
283	LNT	LEAN-TO	 	 	40.00	S.F.	100	1	2024-11-04
287	PAT1	PATIO-AVG	 	 	619.00	S.F.	2500	1	2024-11-04
287	FGR2	GARAGE-GOOD	 	 	672.00	S.F.	23700	1	2024-11-04
288	FGR1	GARAGE-AVE	 	 	480.00	S.F.	9200	1	2024-11-04
288	PAT1	PATIO-AVG	 	 	196.00	S.F.	900	1	2024-11-04
288	SHD2	SHED GOOD	 	 	120.00	S.F.	2400	1	2024-11-04
288	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
290	SHD1	SHED AVERAGE	 	 	140.00	S.F.	1700	1	2024-11-04
290	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
292	BRN1	BARN - 1 STORY	 	 	800.00	S.F.	11000	3	2024-11-04
292	BRN5	2 STORY	 	 	2924.00	S.F.	24000	1	2024-11-04
292	BRN8	POLE BRN/RUN N	 	 	2304.00	S.F.	7400	1	2024-11-04
292	MLK	MILK HOUSE	 	 	1400.00	S.F.	8600	3	2024-11-04
292	BRN8	POLE BRN/RUN N	 	 	180.00	S.F.	600	1	2024-11-04
292	PLT1	PLTRY HSE 1 ST	 	 	200.00	S.F.	400	1	2024-11-04
292	SHD1	SHED AVERAGE	 	 	180.00	S.F.	500	3	2024-11-04
292	LNT	LEAN-TO	 	 	256.00	S.F.	100	1	2024-11-04
292	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	3	2024-11-04
292	PLT1	PLTRY HSE 1 ST	 	 	96.00	S.F.	200	3	2024-11-04
292	SLO3	CONCRETE TRNCH	 	 	3640.00	SF	2500	1	2024-11-04
292	SLO3	CONCRETE TRNCH	 	 	3080.00	SF	2200	1	2024-11-04
292	SLO1	SILO-WD OR CNC	 	 	1000.00	DIAxHT	800	1	2024-11-04
292	BRN1	BARN - 1 STORY	 	 	2400.00	S.F.	55200	1	2024-11-04
294	FGR3	GARAGE-LOWCOST	 	 	240.00	S.F.	3300	1	2024-11-04
294	BRN1	BARN - 1 STORY	 	 	420.00	S.F.	5800	1	2024-11-04
294	FGR1	GARAGE-AVE	 	 	432.00	S.F.	8300	1	2024-11-04
294	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
295	FGR1	GARAGE-AVE	 	 	672.00	S.F.	12900	1	2024-11-04
296	IMP	IMPLEMENT SHED	 	 	240.00	S.F.	1600	1	2024-11-04
297	IMP	IMPLEMENT SHED	 	 	400.00	S.F.	1300	1	2024-11-04
297	IMP	IMPLEMENT SHED	 	 	350.00	S.F.	1800	1	2024-11-04
297	FGR1	GARAGE-AVE	 	 	2352.00	S.F.	30100	1	2024-11-04
297	BRN8	POLE BRN/RUN N	 	 	476.00	S.F.	7600	1	2024-11-04
298	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
299	FGR1	GARAGE-AVE	 	 	528.00	S.F.	8400	1	2024-11-04
299	PLT1	PLTRY HSE 1 ST	 	 	160.00	S.F.	600	1	2024-11-04
300	FGR1	GARAGE-AVE	 	 	576.00	S.F.	12900	1	2024-11-04
300	LNT	LEAN-TO	 	 	144.00	S.F.	500	1	2024-11-04
301	BRN3	1 STORY W/LOFT	 	 	620.00	S.F.	7200	1	2024-11-04
303	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
303	LNTA	LEAN-TO  FP	 	 	2.00	UNITS	200	1	2024-11-04
303	CAB1	CABIN-MINIMAL	 	 	280.00	S.F.	5900	1	2024-11-04
303	BRN3	1 STORY W/LOFT	 	 	1080.00	S.F.	15700	1	2024-11-04
306	FGR1	GARAGE-AVE	 	 	576.00	S.F.	12900	1	2024-11-04
306	SHD1	SHED AVERAGE	 	 	80.00	S.F.	1100	1	2024-11-04
307	FGR4	W/LOFT-AVG	 	 	480.00	S.F	13800	1	2024-11-04
307	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1200	1	2024-11-04
307	BRN8	POLE BRN/RUN N	 	 	260.00	S.F.	3500	1	2024-11-04
307	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-11-04
307	LNT	LEAN-TO	 	 	84.00	S.F.	400	1	2024-11-04
307	SPL1	POOL-INGR CONC	 	 	648.00	S.F.	19400	1	2024-11-04
309	STB3	STABLE W/LOFT	 	 	1120.00	S.F.	13900	1	2024-11-04
310	SHD1	SHED AVERAGE	 	 	48.00	S.F.	400	1	2024-11-04
313	FGR2	GARAGE-GOOD	 	 	528.00	S.F.	16300	1	2024-11-04
313	BRN8	POLE BRN/RUN N	 	 	912.00	S.F.	13100	1	2024-11-04
313	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
313	PATJ	SV PATIO	 	 	1.00	UNITS	500	1	2024-11-04
315	CAB2	W/IMPROVEMENTS	 	 	304.00	S.F.	11200	1	2024-11-04
315	LNT	LEAN-TO	 	 	84.00	S.F.	0	1	2024-11-04
315	SHD1	SHED AVERAGE	 	 	77.00	S.F.	1200	1	2024-11-04
315	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
316	STB4	W/LOFT+ IMPR	 	 	720.00	S.F.	23800	1	2024-11-04
316	IMP	IMPLEMENT SHED	 	 	420.00	S.F.	4400	1	2024-11-04
317	PAT1	PATIO-AVG	 	 	160.00	S.F.	1000	1	2024-11-04
319	FGR5	W/LOFT GOOD	 	 	1200.00	S.F.	53000	1	2024-11-04
319	BRN1	BARN - 1 STORY	 	 	600.00	S.F.	11700	1	2024-11-04
319	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
319	LNT	LEAN-TO	 	 	390.00	S.F.	1800	1	2024-11-04
321	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
321	FCP	CARPORT	 	 	256.00	S.F.	400	1	2024-11-04
323	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
323	SHDG	SHED - FP	 	 	1.00	UNITS	1500	1	2024-11-04
323	PAVB	SV PAVING SML	 	 	1.00	UNITS	800	1	2024-11-04
324	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
325	LT5	MERC VAP/FLU	 	 	7.00	UNITS	8200	1	2024-11-04
328	SHD1	SHED AVERAGE	 	 	190.00	S.F.	1400	1	2024-11-04
328	LNT	LEAN-TO	 	 	128.00	S.F.	600	1	2024-11-04
328	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
329	SHD1	SHED AVERAGE	 	 	320.00	S.F.	4800	1	2024-11-04
329	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
330	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
330	BRN8	POLE BRN/RUN N	 	 	240.00	S.F.	2300	1	2024-11-04
330	FGR4	W/LOFT-AVG	 	 	720.00	S.F	19400	1	2024-11-04
330	SHD1	SHED AVERAGE	 	 	144.00	S.F.	1700	1	2024-11-04
330	PATG	PATIO -FIELDPR	 	 	1.00	UNITS	1100	1	2024-11-04
331	LNT	LEAN-TO	 	 	240.00	S.F.	100	1	2024-11-04
334	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
334	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
335	FGR1	GARAGE-AVE	 	 	576.00	S.F.	12900	1	2024-11-04
336	SHD3	LOW COST	 	 	192.00	S.F.	1400	1	2024-11-04
336	FGR4	W/LOFT-AVG	 	 	672.00	S.F	19400	1	2024-11-04
336	SHD3	LOW COST	 	 	96.00	S.F.	900	1	2024-11-04
336	SHDD	SHED FLDPR	 	 	1.00	UNITS	400	1	2024-11-04
336	SHD3	LOW COST	 	 	192.00	S.F.	1700	1	2024-11-04
336	DECK	DECK	 	 	160.00	S.F.	2100	1	2024-11-04
337	SHD2	SHED GOOD	 	 	80.00	S.F.	1500	1	2024-11-04
337	SPL3	GUNITE	 	 	472.00	S.F.	15600	1	2024-11-04
339	BRN3	1 STORY W/LOFT	 	 	576.00	S.F.	3300	1	2024-11-04
339	FGR5	W/LOFT GOOD	 	 	480.00	S.F.	15000	1	2024-11-04
340	FGR1	GARAGE-AVE	 	 	864.00	S.F.	23500	1	2024-11-04
340	PAT1	PATIO-AVG	 	 	64.00	S.F.	200	1	2024-11-04
341	BRN3	1 STORY W/LOFT	 	 	384.00	S.F.	4500	1	2024-11-04
343	SHD1	SHED AVERAGE	 	 	1.00	S.F.	0	1	2024-11-04
343	PAVB	SV PAVING SML	 	 	0.00	UNITS	0	1	2024-11-04
344	SHD2	SHED GOOD	 	 	160.00	S.F.	3200	1	2024-11-04
345	FGR1	GARAGE-AVE	 	 	288.00	S.F.	6900	1	2024-11-04
346	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
346	PRGB	SV PERGOLA	 	 	1.00	UNITS	2300	1	2024-11-04
346	LT5	MERC VAP/FLU	 	 	2.00	UNITS	2100	1	2024-11-04
347	SHP4	W/IMPROV AGE	 	 	336.00	S.F.	8500	1	2024-11-04
347	LNT	LEAN-TO	 	 	144.00	S.F.	300	1	2024-11-04
348	BRN8	POLE BRN/RUN N	 	 	312.00	S.F.	3700	1	2024-11-04
348	FGR5	W/LOFT GOOD	 	 	1120.00	S.F.	49500	1	2024-11-04
348	IMP	IMPLEMENT SHED	 	 	480.00	S.F.	5600	1	2024-11-04
348	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
348	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
351	FGR1	GARAGE-AVE	 	 	576.00	S.F.	16600	1	2024-11-04
351	SHD1	SHED AVERAGE	 	 	210.00	S.F.	2400	1	2024-11-04
351	SHP1	WORK SHOP AVE	 	 	900.00	S.F.	5500	1	2024-11-04
359	FGR1	GARAGE-AVE	 	 	484.00	S.F.	9300	1	2024-11-04
359	SHD1	SHED AVERAGE	 	 	176.00	S.F.	1600	1	2024-11-04
359	LNT	LEAN-TO	 	 	176.00	S.F.	300	1	2024-11-04
359	PAVC	SV PAVING LG	 	 	1.00	UNITS	1900	1	2024-11-04
360	FCP	CARPORT	 	 	480.00	S.F.	2000	1	2024-11-04
360	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
361	SHD1	SHED AVERAGE	 	 	325.00	S.F.	2000	1	2024-11-04
361	BRN2	1 STORY W/BSMT	 	 	936.00	S.F.	10900	1	2024-11-04
363	SHD1	SHED AVERAGE	 	 	110.00	S.F.	1000	1	2024-11-04
363	IMP	IMPLEMENT SHED	 	 	208.00	S.F.	1600	1	2024-11-04
363	PATE	PATIO -FIELDPR	 	 	1.00	UNITS	500	1	2024-11-04
363	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-11-04
364	LNT	LEAN-TO	 	 	96.00	S.F.	200	1	2024-11-04
364	SHD1	SHED AVERAGE	 	 	210.00	S.F.	1300	1	2024-11-04
365	LNT	LEAN-TO	 	 	96.00	S.F.	200	2	2024-11-04
365	LNTB	LEAN-TO  FP	 	 	1.00	UNITS	200	2	2024-11-04
365	SHP7	SHOP W/LOFT G	 	 	480.00	S.F.	8400	2	2024-11-04
365	CAB1	CABIN-MINIMAL	 	 	420.00	S.F.	4400	1	2024-11-04
365	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	6000	2	2024-11-04
365	FGR6	W/LOFT-POOR	 	 	1672.00	S.F.	24200	1	2024-11-04
365	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	1000	1	2024-11-04
365	LNT	LEAN-TO	 	 	32.00	S.F.	100	1	2024-11-04
365	LNT	LEAN-TO	 	 	64.00	S.F.	100	1	2024-11-04
365	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
368	FGR1	GARAGE-AVE	 	 	480.00	S.F.	9200	1	2024-11-04
368	SHP4	W/IMPROV AGE	 	 	160.00	S.F.	2700	1	2024-11-04
368	PATD	PATIO -FIELDPR	 	 	1.00	UNITS	400	1	2024-11-04
371	LNT	LEAN-TO	 	 	96.00	S.F.	400	1	2024-11-04
371	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
372	FGR3	GARAGE-LOWCOST	 	 	400.00	S.F.	4600	1	2024-11-04
372	PAT1	PATIO-AVG	 	 	144.00	S.F.	500	1	2024-11-04
376	FGR4	W/LOFT-AVG	 	 	576.00	S.F	10400	1	2024-11-04
376	IMP	IMPLEMENT SHED	 	 	264.00	S.F.	1700	1	2024-11-04
376	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
376	SHDC	SHED FLDPR	 	 	1.00	UNITS	300	1	2024-11-04
376	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-11-04
376	LNT	LEAN-TO	 	 	143.00	S.F.	200	1	2024-11-04
376	IMP	IMPLEMENT SHED	 	 	144.00	S.F.	500	1	2024-11-04
376	IMP	IMPLEMENT SHED	 	 	264.00	S.F.	900	1	2024-11-04
376	PAVC	SV PAVING LG	 	 	1.00	UNITS	3800	1	2024-11-04
377	SHD1	SHED AVERAGE	 	 	40.00	S.F.	400	1	2024-11-04
377	CAB2	W/IMPROVEMENTS	 	 	273.00	S.F.	10000	1	2024-11-04
379	FGR1	GARAGE-AVE	 	 	576.00	S.F.	9200	1	2024-11-04
379	SHD1	SHED AVERAGE	 	 	70.00	S.F.	1100	1	2024-11-04
380	FGR1	GARAGE-AVE	 	 	768.00	S.F.	14700	1	2024-11-04
380	LNT	LEAN-TO	 	 	48.00	S.F.	200	1	2024-11-04
381	SHP1	WORK SHOP AVE	 	 	208.00	S.F.	3100	1	2024-11-04
381	FGR3	GARAGE-LOWCOST	 	 	221.00	S.F.	3000	1	2024-11-04
381	LNT	LEAN-TO	 	 	160.00	S.F.	400	1	2024-11-04
382	FGR1	GARAGE-AVE	 	 	576.00	S.F.	9200	1	2024-11-04
382	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-11-04
384	IMP	IMPLEMENT SHED	 	 	117.00	S.F.	300	1	2024-11-04
384	BRN1	BARN - 1 STORY	 	 	1474.00	S.F.	11900	1	2024-11-04
384	IMP	IMPLEMENT SHED	 	 	280.00	S.F.	1100	1	2024-11-04
384	SHD1	SHED AVERAGE	 	 	168.00	S.F.	1300	1	2024-11-04
385	BRN1	BARN - 1 STORY	 	 	576.00	S.F.	10600	1	2024-11-04
385	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
389	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
391	SHD1	SHED AVERAGE	 	 	169.00	S.F.	600	1	2024-11-04
391	LNT	LEAN-TO	 	 	128.00	S.F.	100	1	2024-11-04
392	FGR2	GARAGE-GOOD	 	 	576.00	S.F.	22800	1	2024-11-04
392	SHD4	CUSTOM SHED	 	 	392.00	S.F.	9200	1	2024-11-04
392	SHD1	SHED AVERAGE	 	 	48.00	S.F.	700	1	2024-11-04
392	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
394	FGR1	GARAGE-AVE	 	 	576.00	S.F.	14700	1	2024-11-04
394	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1200	1	2024-11-04
394	LNT	LEAN-TO	 	 	252.00	S.F.	1100	1	2024-11-04
395	SHD1	SHED AVERAGE	 	 	100.00	S.F.	1500	1	2024-11-04
395	FGR1	GARAGE-AVE	 	 	384.00	S.F.	9800	1	2024-11-04
395	FCP	CARPORT	 	 	320.00	S.F.	4500	1	2024-11-04
398	DECK	DECK	 	 	144.00	S.F.	1300	1	2024-11-04
398	SHD1	SHED AVERAGE	 	 	812.00	S.F.	12200	1	2024-11-04
398	LNT	LEAN-TO	 	 	42.00	S.F.	200	1	2024-11-04
399	SHD1	SHED AVERAGE	 	 	100.00	S.F.	1500	1	2024-11-04
400	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
402	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
405	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
408	LNT	LEAN-TO	 	 	32.00	S.F.	0	1	2024-11-04
408	PATB	PATIO -FIELDPR	 	 	1.00	UNITS	200	1	2024-11-04
415	BRN4	1 STY LFT&BSMT	 	 	1200.00	S.F.	10500	1	2024-11-04
415	DECK	DECK	 	 	128.00	S.F.	700	1	2024-11-04
415	SLAB	SLAB	 	 	180.00	S.F.	1600	1	2024-11-04
417	BRN2	1 STORY W/BSMT	 	 	1200.00	S.F.	34800	1	2024-11-04
418	SHD2	SHED GOOD	 	 	168.00	S.F.	2200	1	2024-11-04
418	IMP	IMPLEMENT SHED	 	 	672.00	S.F.	2600	1	2024-11-04
418	SHD2	SHED GOOD	 	 	96.00	S.F.	1900	1	2024-11-04
418	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
429	SHD2	SHED GOOD	 	 	160.00	S.F.	2100	1	2024-11-04
429	GAZA	GAZEBO FP	 	 	1.00	UNITS	800	1	2024-11-04
429	GAZD	GAZEBO FP	 	 	1.00	UNITS	2500	1	2024-11-04
429	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
429	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1800	1	2024-11-04
434	SHD1	SHED AVERAGE	 	 	64.00	S.F.	800	1	2024-11-04
434	PAT1	PATIO-AVG	 	 	80.00	S.F.	400	1	2024-11-04
436	FGR1	GARAGE-AVE	 	 	546.00	S.F.	8700	1	2024-11-04
436	FOP	SCREEN HOUSE	 	 	180.00	S.F.	900	1	2024-11-04
436	SHD1	SHED AVERAGE	 	 	96.00	S.F.	700	1	2024-11-04
436	LNT	LEAN-TO	 	 	64.00	S.F.	100	1	2024-11-04
436	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
437	SHD1	SHED AVERAGE	 	 	32.00	S.F.	400	2	2024-11-04
437	PAT1	PATIO-AVG	 	 	660.00	S.F.	4000	2	2024-11-04
437	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1800	2	2024-11-04
438	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
440	BRN5	2 STORY	 	 	600.00	S.F.	9800	1	2024-11-04
440	BRN1	BARN - 1 STORY	 	 	288.00	S.F.	6600	1	2024-11-04
441	TEN	TENNIS COURT	 	 	7200.00	S.F.	14400	1	2024-11-04
441	LNT	LEAN-TO	 	 	64.00	S.F.	300	1	2024-11-04
441	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
441	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
441	SHD1	SHED AVERAGE	 	 	240.00	S.F.	3600	1	2024-11-04
442	PAT1	PATIO-AVG	 	 	88.00	S.F.	500	1	2024-11-04
446	IMP	IMPLEMENT SHED	 	 	720.00	S.F.	2300	1	2024-11-04
446	BRN4	1 STY LFT&BSMT	 	 	704.00	S.F.	6200	1	2024-11-04
446	IMP	IMPLEMENT SHED	 	 	480.00	S.F.	1600	1	2024-11-04
446	MLK	MILK HOUSE	 	 	240.00	S.F.	1500	1	2024-11-04
446	BRN1	BARN - 1 STORY	 	 	273.00	S.F.	2500	1	2024-11-04
446	BRN4	1 STY LFT&BSMT	 	 	2668.00	S.F.	46700	1	2024-11-04
446	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
447	SHD1	SHED AVERAGE	 	 	80.00	S.F.	1200	1	2024-11-04
447	PAT1	PATIO-AVG	 	 	168.00	S.F.	800	1	2024-11-04
448	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
448	BRN3	1 STORY W/LOFT	 	 	1440.00	S.F.	37600	1	2024-11-04
448	PLT1	PLTRY HSE 1 ST	 	 	112.00	S.F.	500	1	2024-11-04
448	PLT1	PLTRY HSE 1 ST	 	 	192.00	S.F.	900	1	2024-11-04
448	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
450	BRN4	1 STY LFT&BSMT	 	 	1408.00	S.F.	37000	1	2024-11-04
450	STB5	W/LOFT+IMP+	 	 	792.00	S.F.	39200	1	2024-11-04
450	IMP	IMPLEMENT SHED	 	 	448.00	S.F.	3500	1	2024-11-04
450	FGR1	GARAGE-AVE	 	 	600.00	S.F.	14400	1	2024-11-04
450	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
454	STB4	W/LOFT+ IMPR	 	 	600.00	S.F.	15800	1	2024-11-04
454	BRN8	POLE BRN/RUN N	 	 	798.00	S.F.	7700	1	2024-11-04
454	BRN5	2 STORY	 	 	468.00	S.F.	7700	1	2024-11-04
454	IMP	IMPLEMENT SHED	 	 	684.00	S.F.	5300	1	2024-11-04
454	FGR5	W/LOFT GOOD	 	 	576.00	S.F.	25500	1	2024-11-04
454	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
454	IMP	IMPLEMENT SHED	 	 	132.00	S.F.	1700	1	2024-11-04
454	WDK3	DET DECK 500	 	 	1.00	UNITS	500	1	2024-11-04
457	SHD1	SHED AVERAGE	 	 	45.00	S.F.	500	1	2024-11-04
457	BRN4	1 STY LFT&BSMT	 	 	884.00	S.F.	15500	1	2024-11-04
457	BRN3	1 STORY W/LOFT	 	 	1240.00	S.F.	14400	1	2024-11-04
457	BRN4	1 STY LFT&BSMT	 	 	2340.00	S.F.	36900	1	2024-11-04
457	SLO1	SILO-WD OR CNC	 	 	360.00	DIAxHT	1500	1	2024-11-04
457	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
457	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
458	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-11-04
459	BRN3	1 STORY W/LOFT	 	 	320.00	S.F.	3700	1	2024-11-04
459	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
